snapshot_date,release_tag,asset_name,download_count
2026-08-03,v7.0.3,AddaxAI-amd64.deb,8
2026-08-03,v7.0.3,AddaxAI-arm64.dmg,33
2026-08-03,v7.0.3,AddaxAI-Setup.exe,101
2026-08-03,v7.0.2,AddaxAI-amd64.deb,8
2026-08-03,v7.0.2,AddaxAI-arm64.dmg,27
2026-08-03,v7.0.2,AddaxAI-Setup.exe,125
2026-08-10,v7.0.8,AddaxAI-amd64.deb,5
2026-08-10,v7.0.8,AddaxAI-arm64.dmg,11
2026-08-10,v7.0.8,AddaxAI-Setup.exe,86
2026-08-10,v7.0.7,AddaxAI-amd64.deb,2
2026-08-10,v7.0.7,AddaxAI-arm64.dmg,6
2026-08-10,v7.0.7,AddaxAI-Setup.exe,21
2026-08-10,v7.0.6,AddaxAI-amd64.deb,0
2026-08-10,v7.0.6,AddaxAI-arm64.dmg,1
2026-08-10,v7.0.6,AddaxAI-Setup.exe,15
2026-08-10,v7.0.5,AddaxAI-amd64.deb,6
2026-08-10,v7.0.5,AddaxAI-arm64.dmg,29
2026-08-10,v7.0.5,AddaxAI-Setup.exe,150
2026-08-10,v7.0.4,AddaxAI-amd64.deb,3
2026-08-10,v7.0.4,AddaxAI-arm64.dmg,7
2026-08-10,v7.0.4,AddaxAI-Setup.exe,72
2026-08-10,v7.0.3,AddaxAI-amd64.deb,12
2026-08-10,v7.0.3,AddaxAI-arm64.dmg,38
2026-08-10,v7.0.3,AddaxAI-Setup.exe,114
2026-08-10,v7.0.2,AddaxAI-amd64.deb,10
2026-08-10,v7.0.2,AddaxAI-arm64.dmg,28
2026-08-10,v7.0.2,AddaxAI-Setup.exe,125
2026-08-17,v7.0.12,AddaxAI-amd64.deb,0
2026-08-17,v7.0.12,AddaxAI-arm64.dmg,6
2026-08-17,v7.0.12,AddaxAI-Setup.exe,49
2026-08-17,v7.0.11,AddaxAI-amd64.deb,5
2026-08-17,v7.0.11,AddaxAI-arm64.dmg,15
2026-08-17,v7.0.11,AddaxAI-Setup.exe,80
2026-08-17,v7.0.10,AddaxAI-amd64.deb,6
2026-08-17,v7.0.10,AddaxAI-arm64.dmg,10
2026-08-17,v7.0.10,AddaxAI-Setup.exe,83
2026-08-17,v7.0.9,AddaxAI-amd64.deb,6
2026-08-17,v7.0.9,AddaxAI-arm64.dmg,23
2026-08-17,v7.0.9,AddaxAI-Setup.exe,121
2026-08-17,v7.0.8,AddaxAI-amd64.deb,12
2026-08-17,v7.0.8,AddaxAI-arm64.dmg,27
2026-08-17,v7.0.8,AddaxAI-Setup.exe,158
2026-08-17,v7.0.7,AddaxAI-amd64.deb,2
2026-08-17,v7.0.7,AddaxAI-arm64.dmg,6
2026-08-17,v7.0.7,AddaxAI-Setup.exe,21
2026-08-17,v7.0.6,AddaxAI-amd64.deb,0
2026-08-17,v7.0.6,AddaxAI-arm64.dmg,1
2026-08-17,v7.0.6,AddaxAI-Setup.exe,15
2026-08-17,v7.0.5,AddaxAI-amd64.deb,6
2026-08-17,v7.0.5,AddaxAI-arm64.dmg,29
2026-08-17,v7.0.5,AddaxAI-Setup.exe,151
2026-08-17,v7.0.4,AddaxAI-amd64.deb,4
2026-08-17,v7.0.4,AddaxAI-arm64.dmg,9
2026-08-17,v7.0.4,AddaxAI-Setup.exe,73
2026-08-17,v7.0.3,AddaxAI-amd64.deb,13
2026-08-17,v7.0.3,AddaxAI-arm64.dmg,39
2026-08-17,v7.0.3,AddaxAI-Setup.exe,115
2026-08-17,v7.0.2,AddaxAI-amd64.deb,10
2026-08-17,v7.0.2,AddaxAI-arm64.dmg,29
2026-08-17,v7.0.2,AddaxAI-Setup.exe,129
